investor_name,category,fit_score,intro_path,contact_status,next_action,priority,notes
Sandeep Nailwal,Strategic Web3 Infra,10,Warm intro via Polygon ecosystem,Not contacted,Secure intro,High,Lead with Polygon alignment and practical utility
Balaji Srinivasan,Strategic Infrastructure,9,Warm intro or thoughtful cold note,Not contacted,Send concise thesis note,High,Lead with digital sovereignty and infra thesis
Fred Ehrsam,Strategic Product-Led Crypto,9,Warm intro via founder network,Not contacted,Request founder walkthrough,High,Lead with disciplined utility and real SaaS revenue
Olaf Carlson-Wee,Infrastructure / Protocol,8,Warm intro via crypto operators,Not contacted,Share product overview,High,Keep message concise
Tomi Davies,Regional Strategic Angel,8,Warm intro via African founder network,Not contacted,Request advice call,High,Lead with regional relevance and global scale
Jason Lemkin,SaaS Operator Angel,7,SaaS network or community path,Not contacted,Ask for GTM feedback,Medium,Focus on recurring revenue and ICP
Des Traynor,Product / Positioning,7,Operator network path,Not contacted,Ask for product feedback,Medium,Focus on clarity and packaging
Polygon Ecosystem Grants,Grant / Credibility,9,Direct application,Not contacted,Submit grant materials,High,Useful for non-dilutive validation
AngelList Crypto Syndicates,Syndicate,7,Platform submission,Not contacted,Prepare profile,Medium,Use once materials are polished
ABAN / Regional Angel Groups,Network,7,Community intro,Not contacted,Submit intro request,Medium,Use for warm regional visibility
